Hostname,SerialNumber,ServiceIP,DefaultGateway,NasIP,ComputeIP
icn401-0101-h01,DR7XCH4,10.228.0.5,10.228.0.1,10.228.64.5,10.228.128.5
icn401-0101-h02,BV3XCH4,10.228.0.6,10.228.0.1,10.228.64.6,10.228.128.6
icn401-0101-h03,DT3XCH4,10.228.0.7,10.228.0.1,10.228.64.7,10.228.128.7
icn401-0101-h04,GT3XCH4,10.228.0.8,10.228.0.1,10.228.64.8,10.228.128.8
icn401-0101-h05,6V3XCH4,10.228.0.9,10.228.0.1,10.228.64.9,10.228.128.9
icn401-0101-h06,2V3XCH4,10.228.0.10,10.228.0.1,10.228.64.10,10.228.128.10
icn401-0101-h07,HR7XCH4,10.228.0.11,10.228.0.1,10.228.64.11,10.228.128.11
icn401-0101-h08,CS3XCH4,10.228.0.12,10.228.0.1,10.228.64.12,10.228.128.12
icn401-0101-h09,BF5XCH4,10.228.0.13,10.228.0.1,10.228.64.13,10.228.128.13
icn401-0101-h10,4Z7XCH4,10.228.0.14,10.228.0.1,10.228.64.14,10.228.128.14
icn401-0101-h11,1S3XCH4,10.228.0.15,10.228.0.1,10.228.64.15,10.228.128.15
icn401-0101-h12,HS3XCH4,10.228.0.16,10.228.0.1,10.228.64.16,10.228.128.16
icn401-0102-h01,5X7XCH4,10.228.0.17,10.228.0.1,10.228.64.17,10.228.128.17
icn401-0102-h02,GT7XCH4,10.228.0.18,10.228.0.1,10.228.64.18,10.228.128.18
icn401-0102-h03,2V7XCH4,10.228.0.19,10.228.0.1,10.228.64.19,10.228.128.19
icn401-0102-h04,7S3XCH4,10.228.0.20,10.228.0.1,10.228.64.20,10.228.128.20
icn401-0102-h05,BC5XCH4,10.228.0.21,10.228.0.1,10.228.64.21,10.228.128.21
icn401-0102-h06,1D5XCH4,10.228.0.22,10.228.0.1,10.228.64.22,10.228.128.22
icn401-0102-h07,4D5XCH4,10.228.0.23,10.228.0.1,10.228.64.23,10.228.128.23
icn401-0102-h08,4F5XCH4,10.228.0.24,10.228.0.1,10.228.64.24,10.228.128.24
icn401-0102-h09,JD5XCH4,10.228.0.25,10.228.0.1,10.228.64.25,10.228.128.25
icn401-0102-h10,7F5XCH4,10.228.0.26,10.228.0.1,10.228.64.26,10.228.128.26
icn401-0102-h11,GN5XCH4,10.228.0.27,10.228.0.1,10.228.64.27,10.228.128.27
icn401-0102-h12,FR7XCH4,10.228.0.28,10.228.0.1,10.228.64.28,10.228.128.28
icn401-0103-h01,9R7XCH4,10.228.0.69,10.228.0.65,10.228.64.69,10.228.128.69
icn401-0103-h02,3J5XCH4,10.228.0.70,10.228.0.65,10.228.64.70,10.228.128.70
icn401-0103-h03,BH5XCH4,10.228.0.71,10.228.0.65,10.228.64.71,10.228.128.71
icn401-0103-h04,5J5XCH4,10.228.0.72,10.228.0.65,10.228.64.72,10.228.128.72
icn401-0103-h05,CX3XCH4,10.228.0.73,10.228.0.65,10.228.64.73,10.228.128.73
icn401-0103-h06,2Y3XCH4,10.228.0.74,10.228.0.65,10.228.64.74,10.228.128.74
icn401-0103-h07,HX3XCH4,10.228.0.75,10.228.0.65,10.228.64.75,10.228.128.75
icn401-0103-h08,9Q7XCH4,10.228.0.76,10.228.0.65,10.228.64.76,10.228.128.76
icn401-0103-h09,7Q7XCH4,10.228.0.77,10.228.0.65,10.228.64.77,10.228.128.77
icn401-0103-h10,8Y3XCH4,10.228.0.78,10.228.0.65,10.228.64.78,10.228.128.78
icn401-0103-h11,DY3XCH4,10.228.0.79,10.228.0.65,10.228.64.79,10.228.128.79
icn401-0103-h12,CQ7XCH4,10.228.0.80,10.228.0.65,10.228.64.80,10.228.128.80
icn401-0104-h01,FQ7XCH4,10.228.0.81,10.228.0.65,10.228.64.81,10.228.128.81
icn401-0104-h02,GY7XCH4,10.228.0.82,10.228.0.65,10.228.64.82,10.228.128.82
icn401-0104-h03,4Y3XCH4,10.228.0.83,10.228.0.65,10.228.64.83,10.228.128.83
icn401-0104-h04,8Q7XCH4,10.228.0.84,10.228.0.65,10.228.64.84,10.228.128.84
icn401-0104-h05,DQ7XCH4,10.228.0.85,10.228.0.65,10.228.64.85,10.228.128.85
icn401-0104-h06,3S3XCH4,10.228.0.86,10.228.0.65,10.228.64.86,10.228.128.86
icn401-0104-h07,7H5XCH4,10.228.0.87,10.228.0.65,10.228.64.87,10.228.128.87
icn401-0104-h08,GW3XCH4,10.228.0.88,10.228.0.65,10.228.64.88,10.228.128.88
icn401-0104-h09,3Z7XCH4,10.228.0.89,10.228.0.65,10.228.64.89,10.228.128.89
icn401-0104-h10,BS7XCH4,10.228.0.90,10.228.0.65,10.228.64.90,10.228.128.90
icn401-0104-h11,9T7XCH4,10.228.0.91,10.228.0.65,10.228.64.91,10.228.128.91
icn401-0104-h12,5T7XCH4,10.228.0.92,10.228.0.65,10.228.64.92,10.228.128.92
icn401-0105-h01,3X7XCH4,10.228.0.133,10.228.0.129,10.228.64.133,10.228.128.133
icn401-0105-h02,3W3XCH4,10.228.0.134,10.228.0.129,10.228.64.134,10.228.128.134
icn401-0105-h03,2S7XCH4,10.228.0.135,10.228.0.129,10.228.64.135,10.228.128.135
icn401-0105-h04,JY3XCH4,10.228.0.136,10.228.0.129,10.228.64.136,10.228.128.136
icn401-0105-h05,4V7XCH4,10.228.0.137,10.228.0.129,10.228.64.137,10.228.128.137
icn401-0105-h06,4G5XCH4,10.228.0.138,10.228.0.129,10.228.64.138,10.228.128.138
icn401-0105-h07,HD5XCH4,10.228.0.139,10.228.0.129,10.228.64.139,10.228.128.139
icn401-0105-h08,8R7XCH4,10.228.0.140,10.228.0.129,10.228.64.140,10.228.128.140
icn401-0105-h09,FTPKBH4,10.228.0.141,10.228.0.129,10.228.64.141,10.228.128.141
icn401-0105-h10,7Y3XCH4,10.228.0.142,10.228.0.129,10.228.64.142,10.228.128.142
icn401-0105-h11,BQ7XCH4,10.228.0.143,10.228.0.129,10.228.64.143,10.228.128.143
icn401-0105-h12,3Y3XCH4,10.228.0.144,10.228.0.129,10.228.64.144,10.228.128.144
icn401-0106-h01,9X3XCH4,10.228.0.145,10.228.0.129,10.228.64.145,10.228.128.145
icn401-0106-h02,6Q7XCH4,10.228.0.146,10.228.0.129,10.228.64.146,10.228.128.146
icn401-0106-h03,HT7XCH4,10.228.0.147,10.228.0.129,10.228.64.147,10.228.128.147
icn401-0106-h04,DS3XCH4,10.228.0.148,10.228.0.129,10.228.64.148,10.228.128.148
icn401-0106-h05,FV3XCH4,10.228.0.149,10.228.0.129,10.228.64.149,10.228.128.149
icn401-0106-h06,1Y3XCH4,10.228.0.150,10.228.0.129,10.228.64.150,10.228.128.150
icn401-0106-h07,FX3XCH4,10.228.0.151,10.228.0.129,10.228.64.151,10.228.128.151
icn401-0106-h08,JS3XCH4,10.228.0.152,10.228.0.129,10.228.64.152,10.228.128.152
icn401-0106-h09,C04XCH4,10.228.0.153,10.228.0.129,10.228.64.153,10.228.128.153
icn401-0106-h10,5P7XCH4,10.228.0.154,10.228.0.129,10.228.64.154,10.228.128.154
icn401-0106-h11,CN7XCH4,10.228.0.155,10.228.0.129,10.228.64.155,10.228.128.155
icn401-0106-h12,4T3XCH4,10.228.0.156,10.228.0.129,10.228.64.156,10.228.128.156
icn401-0107-h01,FV7XCH4,10.228.0.197,10.228.0.193,10.228.64.197,10.228.128.197
icn401-0107-h02,1R7XCH4,10.228.0.198,10.228.0.193,10.228.64.198,10.228.128.198
icn401-0107-h03,1T7XCH4,10.228.0.199,10.228.0.193,10.228.64.199,10.228.128.199
icn401-0107-h04,HS7XCH4,10.228.0.200,10.228.0.193,10.228.64.200,10.228.128.200
icn401-0107-h05,GS7XCH4,10.228.0.201,10.228.0.193,10.228.64.201,10.228.128.201
icn401-0107-h06,6T7XCH4,10.228.0.202,10.228.0.193,10.228.64.202,10.228.128.202
icn401-0107-h07,CS7XCH4,10.228.0.203,10.228.0.193,10.228.64.203,10.228.128.203
icn401-0107-h08,1Q7XCH4,10.228.0.204,10.228.0.193,10.228.64.204,10.228.128.204
icn401-0107-h09,DTPKBH4,10.228.0.205,10.228.0.193,10.228.64.205,10.228.128.205
icn401-0107-h10,GP7XCH4,10.228.0.206,10.228.0.193,10.228.64.206,10.228.128.206
icn401-0107-h11,3VPKBH4,10.228.0.207,10.228.0.193,10.228.64.207,10.228.128.207
icn401-0107-h12,FP7XCH4,10.228.0.208,10.228.0.193,10.228.64.208,10.228.128.208
icn401-0108-h01,HTPKBH4,10.228.0.209,10.228.0.193,10.228.64.209,10.228.128.209
